st_address,city,price,zestimate,description,housetype,yearbuilt,heating,cooling,parking,hoa,daysonzillow,pricepersqft,numberofsaves,is_forsale,masterbedlevel,thirdbedlevel,fourthbedlevel,buildingexterior
435 Redwood Ln,"Schaumburg, IL 60193","$249,900",:,"A lot to like here. Nice size home in great neighborhood boasting excellent schools, proximity to shopping and transportation. Most major items have been replaced although the years of the updates is unknown. The 3 car garage are a plus for anyone with multiple vehicles or if you just like to tinker. Large deck and patio. Priced to sell.",Single Family,1972,Forced air,Central,"Attached Garage, Detached Garage","9,165 sqft",67 Days,$222,32,For Sale,Main Level,Not Applicable,Main Level,Asphalt

1109 Regency Ct,"Schaumburg, IL 60193","$180,000",:,"CUL-DE-SAC LOCATION IS HOME TO THIS EXETER MODEL IN THE SOUGHT AFTER WELLINGTON COURT NEIGHBORHOOD!  HOME BACKS TO PRIVATE, OPEN GREEN SPACE!  STEP INSIDE TO FIND 2-STORY LIVING ROOM WITH GAS FIREPLACE, DINING ROOM FOR FORMAL ENTERTAINING, FULLY-APPLIANCED KITCHEN, CONVENIENT FIRST FLOOR LAUNDRY, VAULTED MASTER BEDROOM WITH CERAMIC MASTER BATH PLUS LOFT (COULD BE CONVERTED TO 3RD BEDROOM).  CLOSE TO MAJOR ROADS, HIGHWAY & METRA!  HOME SOLD ""AS IS"".",Townhouse,1990,Forced air,Central,Attached Garage,No Data,84 Days,$118,39,For Sale,2nd Level,2nd Level,Not Applicable,Security System

30 W Niagara Ave,"Schaumburg, IL 60193","$399,000",,"WOW, SO MUCH HOUSE FOR THE $$$. DON'T MISS THIS! OWNED SINCE 1987. LARGE ADDITION ALLOWING MASSIVE FAMILY ROOM, MASTER SUITE and ADDL SIDE GAR HEATED (MAN CAVE) W/CAR LIFT (28 x 21).STEEL BEAM.  BEAUTIFUL SOLID OAK DOORS/OAK TRIM T/O. RADIANT HEAT IN FAMILY ROOM  AND BASEMENT. LOFT HAS 2 LARGE SKYLIGHTS. MB HAS WALK IN SHOWER and SKYLIGHT FOR EXTRA LIGHTING. SIDE DECK OFF MASTER BEDROOM WITH FIREPLACE. 7'4"" BASEMENT CEILING HEIGHT. WELL IS ONLY FOR OUTDOOR WATER NEEDS.  SEPTIC CLEAN OUT IN FRONT YARD (COULD BE USED FOR RV). 5 ZONED HTG. OPEN LOFT ON 2ND FL WITH 2 LARGE SKYLIGHTS and SELLER LEAVING POOL TABLE/STAINED GLASS LIGHTING. 2 CAR ATTACHED GARAGE OFF FRONT CONCRETE DRIVEWAY and ATTACHED 1.5 CAR GARAGE USED AS MAN CAVE and AUTO REBUILD THAT IS HEATED AND INCLUDES A CAR LIFT.  BSMT IS FULL PRESENTLY UNFINISHED W/3/4 BATH/STEAMER PLUMBING. BOILER WAS REPLACED WHEN WATER LINE CAUSED BASEMENT DAMAGE. ACTIVE CURRENT ELECTRICAL BOXES ARE IN SIDE GARAGE. GRILL GAS LINE OUTSIDE DBL PATIO FR DOORS.",Single Family,1964,No Data,Central,2 spaces,0.46 acres,59 Days,$119,50,For Sale,,Single Family,,Asphalt

212 Natwick Ln,"Schaumburg, IL 60193","$399,900",:,"Welcome home to this beautiful 4 bedroom tri-level! Great floor plan! Cathedral ceilings in living room and dining room. Property has been recently remodeled with high end finishes; new kitchen, new paint, new carpet, new hardwood flooring, new light fixtures, newer mechanicals and much more! Kitchen offers granite countertops, plenty of cabinet space and new stainless stain appliances. Spacious family room with a bar and recessed lighting. All four bedrooms are on the second level. Master bedroom has a en-suite with double sink and dual closets. Large recreation room in lower level and fantastic three season Florida room.  Nice fenced in yard with gorgeous in ground heated pool.  A must see!",Single Family,1983,Forced air,Central,Attached Garage,"10,497 sqft",14 Days,$170,67,For Sale,2nd Level,2nd Level,2nd Level,

313 Fleming Ln,"Schaumburg, IL 60193","$319,900",:,"One look is all it will take to make this your home~ A bright & open floor plan completely move-in ready~ Lets start with the list of improvements; Renovated kitchen in 2018~ In 2017 Roof, siding, fascia, soffits, gutters, furnace and air conditioner all replaced~ Newer windows~ Hardwood flooring~ Main level and lower level fireplace~ H-U-G-E fenced in yard  with deck perfect for entertaining~ School district 54 and 211~  Oversized garage~ Responsible owners have made all the right improvements, the right way. Be the beneficiary of these efforts~",Single Family,1972,Forced air,Central,2 spaces,0.25 acres,31 Days,$162,64,For Sale,Main Level,Not Applicable,Main Level,Other

872 Suffield Ter,"Schaumburg, IL 60193","$295,000",:,"NO WAITING! SHORT SALE IS APPROVED AT $295,000! Come check out this popular Kingsport Village Salford model! Located in the heart of Schaumburg on a quiet tree-lined-street in a private cul-de-sac across from a park! Take in the view of the pond and park from your patio and fenced yard. Enjoy the award winning Collins Elementary school, Frost Junior High, & Conant High school. Just minutes to train, expressways, Woodfield Mall and library. This home is a short sale to be handled by professional short sale expert with a 100% success rate. It is to be sold as is.",Single Family,1977,No Data,No Data,No Data,"9,583 sqft",57 Days,$190,9,For Sale,,,,0727418060

1441 Blackhawk Dr,"Schaumburg, IL 60193","$489,000",:,"Spacious brick Cape Cod in Sunset Hills. Hardwood floors and 2 wood-burning fireplaces. Large master bedroom with walk-in closet, master bathroom walk-in shower and radiant heated floor. Sunny eat in kitchen with granite countertop. Huge private backyard, brick patio, beautiful veranda, large shed and two car attached garage. Brand new roof, gutters and siding 2017.",Single Family,1985,Forced air,Central,Attached Garage,No Data,267 Days,$116,14,For Sale,2nd Level,Main Level,Main Level,Brick

2826 Belle Ln,"Schaumburg, IL 60193","$200,000",:,"Desirable ranch townhome is Towne Place West ready for new owners! Convenient private entrance! Living room features door to back patio, & an abundance of windows allowing for tons of natural light plus cozy fireplace! Eat in kitchen with white appliances, plenty of counter space & cabinetry! Master suite shows off walk in closet and private bath with walk-in tub! Additional bedroom & full bath offers tons of space! Updates include fresh paint & carpet throughout! Newer furnace & hot water heater! Roof only 2 years old! Washer, dryer, & dishwasher replaced in 2016! Great location~ in the heart of Schaumburg! Don't miss out!",Condo,1991,Forced air,Central,Attached Garage,$227/month,2 Days,$138,7,For Sale,Main Level,Not Applicable,Not Applicable,"Stone, Vinyl"

1834 Whittier Ln,"Schaumburg, IL 60193","$799,000",:,"North Shore Charm by CASTLE BLDRS in the Northwest Suburbs. Gorgeous Oil Rubbed Bronze Staircase. Granite Counters. Balcony overlooking Great Room. 7"" Crown, Panel Moulding, Leaded Glass Entryway. Spacious Master Bedroom with Generous Master Closet & Opulent Master Bath w/Body Spray Shower and Travertine floors with marble inlays. Schaumburgs hottest new construction neighborhood!",Single Family,2010,No Data,Central,Attached Garage,"9,744 sqft",70 Days,$253,15,For Sale,2nd Level,2nd Level,2nd Level,Asphalt

109 Cedar Ct,"Schaumburg, IL 60193","$299,900",,"This remarkable home in the Timbercrest subdivision has so many great features! The large and airy windows bring in tons of natural light making the home feel warm. The eat-in kitchen features granite counter tops, stainless steel appliances, beautiful cabinets and lots of counter space. Enjoy the cozy fireplace in the family room. The large backyard deck is a perfect place for relaxing or entertaining guests. New A/C! Roof is about 5 years old. Freshly painted t/o. Wonderful location! Minutes from Schaumburg Township District Library, parks, schools, restaurants and highways!",Single Family,1966,Forced air,Central,2 spaces,0.29 acres,99 Days,$184,38,,Lower,2nd Level,2nd Level,Asphalt

1099 Cranbrook Dr,"Schaumburg, IL 60193","$217,900",,"Wonderful opportunity to own this huge 1,880 SQF 2-story townhome (1/2 duplex) located in beautiful Weathersfield South subdivision w/2.5-car garage & private backyard!!! 2nd floor is featuring great size master bedroom w/ceiling fan/walk in closet & full master bathroom w/stand up shower/2x good sized additional bedrooms w/double closets & ceiling fans in each of them & 2nd full bathroom w/tub. 1st floor has front foyer/open living room w/sliders to patio/galley kitchen/separate dining room w/ceiling fan/family room w/gas fireplace/ceiling fan/wet bar & sliders to concrete patio/3rd full bathroom w/tub & utility room w/laundry hook ups/100 AMPs circuit breaker box/hot water heater/furnace & access to attached 2.5 car garage. There are wood laminated floors/ceiling fans/asphalt driveway/fenced in private backyard/gas forced air & A/C. It is close to PACE bus/METRA train/expressway/schools/water park/Schaumburg Airport/parks/shopping & restaurants! Do not wait and make an offer today!!!",Townhouse,1975,Forced air,Central,Attached Garage,No Data,71 Days,$116,14,,2nd Level,2nd Level,Not Applicable,Pool

636 Tilipi Ln,"Schaumburg, IL 60193","$279,999",:,"Popular Salem ranch located on large fully fenced lot.  Spacious new  eat-in kitchen with granite large island,french doors to enjoy your backyard. Bay window in Living room,new crown molding,new can lights.  Laundry area is conveniently located.  Both baths updated.  Home has new bamboo floors & freshly painted.  Within 1-mile of schaumburg Town Center-grocery shopping, restaurants, library, too much to list moving readyl.",Single Family,1974,Forced air,Central,Attached Garage,"10,140 sqft",9 Days,$248,28,For Sale,Main Level,Not Applicable,Main Level,Asphalt

1947 Heron Ave UNIT A,"Schaumburg, IL 60193","$179,888",:,"MOTIVATED SELLER. BEAUTIFUL END UNIT TOWNHOUSE JUST WAITING FOR THE NEW OWNER.  PLENTY OF UPGRADES IN THIS RECENT REHAB OF 2014.  FOUR YEAR OLD STAINLESS STEEL APPLIANCES, ATTIC SPACE, NEWER PATIO DOOR AND NEW HOT WATER TANK.  YOU WILL LOVE THE ONE LEVEL LIVING. GREAT SCHOOL DISTRICT, CLOSE TO TRANSPORTATION AND SHOPPING. COME SEE TODAY.  YOU WONT BE DISAPPOINTED. ONE YEAR APPLIANCE WARRANTY.",Townhouse,1996,No Data,Central,2 spaces,No Data,84 Days,No Data,88,For Sale,Main Level,Not Applicable,Not Applicable,

1662 Commodore Ct UNIT 1,"Schaumburg, IL 60193","$160,000",,"POPULAR SCHAUMBURG GLENS IS SO CLOSE TO EVERYTHING! FRESH PAINT AND CARPET THROUGHOUT THIS FIRST LEVEL CANTERBURY MODEL.  GREAT FLOOR PLAN ESSENTIALLY OFFER 2 MASTERS, FULL SIZE LAUNDRY IN UNIT, ATTACHED GARAGE AND NEW ROOF THIS NOVEMBER.  UNITS TEND TO GO QUICKLY.",Condo,1986,Forced air,Central,2 spaces,$222/month,1 Day,No Data,6,For Sale,Main Level,Not Applicable,Not Applicable,"Brick, Vinyl"

51 Brookston Dr UNIT A1,"Schaumburg, IL 60193","$115,000",,"1 bedroom in stylish development Close to Woodfield & major expressways. Wood/Gas fireplace, slider to quiet patio, large master with walk in. W/D in unit, extra storage and attached 1 car garage. Interior needs paint and carpet, but priced accordingly!",Condo,1989,Forced air,Central,Attached Garage,$225/month,8 Days,No Data,10,For Sale,Not Applicable,Not Applicable,Not Applicable,Asphalt

537 Norwood Ln,"Schaumburg, IL 60193","$289,000",:,"POPULAR RAISED RANCH WITH EXCELLENT SCHAUMBURG SCHOOLS AND PARK DISTRICT! 3 BEDROOMS UP WITH AN EXTRA ROOM IN THE LOWER LEVEL! FRESHLY PAINTED, NEW CARPET AND FLOORING THROUGHOUT!!  NICE DECK WITH A VERY LARGE YARD! 2 CAR GARAGE IS EXTRA LONG!   GREAT AREA!!!!",Single Family,1966,No Data,Central,Attached Garage,No Data,10 Days,$232,11,For Sale,Lower,2nd Level,2nd Level,Asphalt

1258 Rosewood Ct UNIT C1,"Schaumburg, IL 60193","$199,800",:,"Great Location in Desirable Willow Pond! Rare Ground Floor condo 2 spacious bedrooms and 2 bath in Private Cul-de-Sac!  New flooring throughout and KIT w/ Stainless Steel Stove, Stainless Steel Dishwasher, Spacious LR w/ Gas log  Fireplace! Large Master Suite w/ large Closet! 1 Car Attached Garage! In Unit Laundry Includes Washer & Dryer! Enjoy The Outdoor Pool, Clubhouse & Exercise Facilities!  Maintenance Free Community Minutes From Woodfield Mall & Expressways! Exceptional Value! Show with Confidence!",Condo,1993,Forced air,Central,Attached Garage,$230/month,74 Days,$166,47,For Sale,Main Level,Not Applicable,Not Applicable,"Brick, Vinyl"

612 Waterford Rd S APT 3D,"Schaumburg, IL 60193","$115,000",:,"Affordable well maintained Top Floor Condo 2 bedroom 2 full baths.  Large master bedroom with hugh walk-in closet.  Spacious living room with corner wood burning fire place, balcony. On site amenities pool, park, pond & walking trails.  Location is key minutes away from everything  malls, expressways, restaurants, come enjoy the luxuries of Schaumburg!!!",Condo,1976,Forced air,Central,1 space,$364/month,115 Days,$105,9,For Sale,Main Level,Not Applicable,Not Applicable,Brick

1400 Grantham Dr,"Schaumburg, IL 60193","$729,000",,"NEW PRICE! This remarkable home in prestigious Lion's Gate Subdivision features 4 colossal bedrooms up all with walk in closets, 3 full baths up along with 2 half baths on the first and basement levels, first floor laundry, family room with fireplace, grand 2-story foyer, soaring ceilings with columns, gourmet kitchen that boasts SS appliances, granite, island with breakfast bar seating, walk in and butler's pantries, as well as a bonus first floor office or in law arrangement, and beautifully finished full basement with top schools in a central location!",Single Family,2006,Forced air,Central,Attached Garage,0.36 acres,124 Days,$180,5,For Sale,,MARGARET MEAD JUNIOR HIGH SCHOOL,J B Conant High School,0725104028

330 S Cedarcrest Dr,"Schaumburg, IL 60193","$389,500",:,"Highly desired Timbercrest Subdivision offers nearly perfect 4 bedroom tri-level home with upgrades galore.  Hardwood floors throughout multiple levels of this stunning home.  Custom eat in kitchen w/ granite island and countertops, SS appliances with high end oven offering convection and griddle options.  Bathrooms feature the same level of sophistication.  All the big items have been replaced:  roof and siding, high efficient furnace and a/c, tankless water heater, Pella windows.  Enjoy the deck and pool in your very own backyard sanctuary overlooking the Oak Hallow conservation area.  Surrounding nearby trails and bike paths.  Minutes from Town Square, library, Woodfield shopping, and expressways.  Award winning school districts 54 and 211 all in a top-rated community.  Just unpack your bags and move right in!",Single Family,1966,Forced air,Central,2 spaces,"9,345 sqft",14 Days,$195,34,For Sale,Lower,2nd Level,2nd Level,

1807 Norwell Ln,"Schaumburg, IL 60193","$285,000",:,"Wonderful one level living in this immaculate 3 bedroom ranch.  It is so well maintained that you can move right in and not lift a finger.  You get a living room, plus a family room with wood burning fireplace!  Kitchen with breakfast bar and pantry.  Fully remodeled bathrooms, whirlpool tub.  Large 2 car attached garage with extra storage space too!  New tear off roof and new gutters with gutter guards in 2017, Exterior painted 2017, Concrete walkways 2017, New garage door 2017, Furnace 2009.  The perfect sized yard and it is fenced in too.  Great curb appeal.  Fantastic location and popular schools too!  This is the home you have been waiting for!",Single Family,1969,Forced air,Central,Attached Garage,"8,681 sqft",28 Days,$206,39,For Sale,Main Level,Not Applicable,Main Level,Asphalt

2466 Charleston Dr # U2,"Schaumburg, IL 60193","$174,900",,"Great location. LR, DR and Kitchen overlook pond.  Large rooms, Vaulted ceilings, and French Doors to Master Bedroom. Sliding door from Dining Room leads to large deck. Lots of Closet space.  Attached garage. In-Unit Laundry. No showings from 2 to 5 pm.",Condo,1992,Forced air,Central,Attached Garage,$251/month,7 Days,$121,5,For Sale,2nd Level,2nd Level,Not Applicable,Asphalt

500 Neal Ct,"Schaumburg, IL 60193","$339,900",,"Be in your New Home before the Holidays! Spacious Split Level with Sub Basement in Desirable Lancer Park. Such a welcoming feel from the entrance way with Ceramic tile. And the warmth of the spacious Living Room with Picture window. Enjoying Holiday dinners in the formal Dining Room with New Light fixture.Preparing the dinner in the Eat-In Kitchen with plenty of cabinet with undermount Lighting and counter space that overlooks the Family room with heated Wood Laminate floors and a Wood burning gas start Stone Fireplace. Neutral Colors Throughout. Updated Lower Level Bathroom. Laundry/Office area with built in desk and cabinets. 3 Spacious bedrooms: Bedroom 2 and Bedroom 3 have hardwood floors. Upstairs Hall Bath with Double Vanity. 26X16 Finished Sub Basement with New Carpet. Roof 2011, Back up for sump pump 2018. Patio with Gas grill Hook up. 2 1/2 Attached Car Garage Walk to Elementary Schools, Desirable District 54 & 211 schools. Close to Woodfield and Expressways. Call Now for a tour of this home.",Single Family,1970,Forced air,Central,2 spaces,"8,276 sqft",49 Days,$173,20,For Sale,,Single Family,J B Conant High School,"8,276 sqft"

1416 Lincoln St,"Schaumburg, IL 60193","$389,000",,"THIS GREAT 4 BEDROOM, 2 1/2 BATH 2 STORY HOME IN HIGHLY RATED CONANT H.S. SITS ON 1/2 ACRE LOT, VERY PRIVATE AND WOODED LOCATION CONVENIENTLY LOCATED NEAR METRA, HIGHWAY, RESTAURANTS AND SHOPPING, SPACIOUS FAMILYROOM WITH CATHEDRAL CEILING AND SKYLIGHTS OPEN TO KITCHEN WITH EATING AREA AND BREAKFAST BAR, GREAT FOR ENTERTAINING WITH LARGE LIVING ROOM AND DINING ROOM COMBO, NEWER APPLIANCES, WHOLE HOUSE GENERATOR, STORAGE SHED AND MUCH MORE. COME SEE IT FOR YOURSELF AND BE IMPRESSED. 3 LOTS, EACH 50 X 134",Single Family,1981,Forced air,Central,2 spaces,0.49 acres,121 Days,$171,26,For Sale,,ROBERT FROST JUNIOR HIGH SCHOOL,J B Conant High School,Shake/Shingle

1437 Chatham Ln,"Schaumburg, IL 60193","$325,000",:,"This home has gone under a multi year master effort resulting in a reimagined residence like no other.  Open plan to dining, kitchen, and living areas are finished with rich wide plank hardwood flooring.  The kitchen features custom cabinetry, center island, farmhouse sink, designer countertops, marble backsplash, and stainless steel appliances.  Updated bathroom with glass enclosed separate shower finished with subway tiles, claw foot soaking tub, and heated flooring!  Smart home technology includes Nest thermostat and Smart Garage Door Opener to the heated garage. Follow the flagstone path to the incredible professionally landscaped back yard with a beautiful paver patio including a retaining wall to a fire-pit area at the base of the new composite deck...all this enclosed by new black metal fencing. Rest easy under your new roof (2017) surrounded by new siding (2013). The improvement list is extensive, make sure not to miss this incredible home!!!",Single Family,1962,Forced air,Central,2 spaces,0.26 acres,Less than 1 day,$278,17,For Sale,Lower,Main Level,Main Level,Asphalt

1415 Marion St,"Schaumburg, IL 60193","$419,900",:,"PRICE IMPROVEMENT!  Check out this stunning custom home in Schaumburg! Gorgeous hardwood floors throughout, custom kitchen with extensive cabinet space, granite counters and stainless steel appliances. Master suite features a private balcony, private loft and a custom master bath with cherry cabinetry and granite. Gorgeous spiral staircase to loft with skylights. Located on a large lot in a prime location!  Do yourself a favor and explore this amazing home today.",Single Family,1990,Forced air,Central,Attached Garage,0.31 acres,75 Days,$139,22,For Sale,Main Level,2nd Level,2nd Level,Asphalt

327 Hillside Ct,"Schaumburg, IL 60193","$549,900",:,"The nicest & biggest house on the block is for sale! This beauty was recently updated, not the typical cookie cutter rehab. Your new home features over 3200 sq. ft of luxury living space. 5 large bedrooms & 3.5 bathrooms. Complete open floor concept living space on main level. Cooks kitchen features shaker cabinets, stainless steel appliances, granite counter tops, DLB SS sink, modern light fixtures &  stunning back splash w/side island perfect for morning coffee. Family room on main level highlights Brick, Wood burning fire place and sliding glass doors that lead to your backyard oasis. Mudroom on main level,  5 bedrooms upstairs with MASTER SUITE & EN SUITE Absolutely stunning updates in bathroom with completely tiled walls, free standing tub, huge shower area, double vanities. mirrors and more PLUS walk in MASTER closet w/ washer dryer hook up.  Basement is unfinished and waiting for your personal touches with endless possibilities for additional living space",Single Family,1977,Forced air,Central,2 spaces,0.28 acres,102 Days,$169,25,For Sale,,Single Family,,0.28 acres

636 Greenbriar Ln,"Schaumburg, IL 60193","$335,000",:,"Full of Memories, Ready for More! A sweeping Circular Drive leads you to this all-brick Ranch with a Rare 3 car garage! Quality is assured in this comfortable & inviting home. Well maintained by long-time owner. Bright, Clean, Neutral Decor. Nicely updated. 3 bedroom, 2.5 bath. Hardwood Floors. Full, Finished Basement with Studio Apartment/In-Law arrangement. Lots of Storage. New Roof, Gutters & Soffits in 2018. Water Heater, 2012. Newer Windows too! Patio with Pergola overlooks Beautiful Park-like yard. Rare to find a lot this size in the Schaumburg area! Prime location, Great Schools, Beautiful Neighborhood! See it today!",Single Family,1967,No Data,Central,Attached Garage,0.66 acres,51 Days,$134,27,For Sale,Main Level,Not Applicable,Main Level,

15 W Niagara Ave,"Schaumburg, IL 60193","$319,900",:,"One of Schaumburg's finest locations! This beautiful home has an amazing Roof Deck overlooking large rear yard and in-ground swimming pool! Spacious rooms offer tons of living and entertaining space throughout! Many updates, new roof, large updated kitchen AND a pool house recreation room! This home is a MUST SEE!",Single Family,1971,Forced air,Central,Attached Garage,0.46 acres,140 Days,$175,25,For Sale,2nd Level,2nd Level,2nd Level,Intercom

